Variable,Bin,Points
EXT_SOURCE_2,"[0.35, 0.41)",-4.943908724500919
EXT_SOURCE_2,"[0.41, 0.49)",2.622488716554146
EXT_SOURCE_2,"[0.49, 0.55)",9.743773919235615
EXT_SOURCE_2,"[0.55, 0.59)",17.1362869851408
EXT_SOURCE_2,"[0.59, 0.62)",19.246876052865094
EXT_SOURCE_2,"[0.62, 0.65)",27.280450973380876
EXT_SOURCE_2,"[0.65, 0.67)",30.85259213099575
EXT_SOURCE_2,"[0.67, 0.69)",37.49577746397158
EXT_SOURCE_2,"[0.69, 0.70)",39.678501938919545
EXT_SOURCE_2,"[0.70, 0.73)",50.230738651260594
EXT_SOURCE_2,"[0.73, inf)",63.09972952215142
EXT_SOURCE_2,Special,7.3875093272873205
EXT_SOURCE_2,Missing,7.3875093272873205
EXT_SOURCE_3,"(-inf, 0.18)",-41.88240693026741
EXT_SOURCE_3,"[0.18, 0.32)",-19.510020392064735
EXT_SOURCE_3,"[0.32, 0.41)",-2.0967492408522315
EXT_SOURCE_3,"[0.41, 0.46)",8.001705305199119
EXT_SOURCE_3,"[0.46, 0.50)",13.48047046342549
EXT_SOURCE_3,"[0.50, 0.57)",22.104171242960458
EXT_SOURCE_3,"[0.57, 0.61)",30.601246366087665
EXT_SOURCE_3,"[0.61, 0.65)",32.619286883650446
EXT_SOURCE_3,"[0.65, 0.70)",38.46741684335203
EXT_SOURCE_3,"[0.70, 0.77)",45.69397819146317
EXT_SOURCE_3,"[0.77, inf)",50.14029103402
EXT_SOURCE_3,Special,7.3875093272873205
EXT_SOURCE_3,Missing,7.3875093272873205
DAYS_LAST_PHONE_CHANGE,"(-inf, -2469.50)",8.575035513228402
DAYS_LAST_PHONE_CHANGE,"[-2469.50, -2050.50)",8.286718626749703
DAYS_LAST_PHONE_CHANGE,"[-2050.50, -1813.50)",8.097730944285104
DAYS_LAST_PHONE_CHANGE,"[-1813.50, -1384.50)",7.935357811014331
DAYS_LAST_PHONE_CHANGE,"[-1384.50, -1122.50)",7.672217749856456
DAYS_LAST_PHONE_CHANGE,"[-1122.50, -956.50)",7.386273053337742
DAYS_LAST_PHONE_CHANGE,"[-956.50, -715.50)",7.257943377152403
DAYS_LAST_PHONE_CHANGE,"[-715.50, -592.50)",7.042961974215655
DAYS_LAST_PHONE_CHANGE,"[-592.50, -347.50)",7.02547756260306
DAYS_LAST_PHONE_CHANGE,"[-347.50, inf)",6.945423801150643
DAYS_LAST_PHONE_CHANGE,Special,7.3875093272873205
DAYS_LAST_PHONE_CHANGE,Missing,7.3875093272873205
ORGANIZATION_TYPE,"['Trade: type 5' 'Trade: type 4' 'Trade: type 6' 'Industry: type 12'
 'Military' 'Police' 'Transport: type 1' 'Security Ministries'
 'University' 'Bank' 'Insurance' 'Industry: type 6' 'Religion' 'School'
 'Culture']",23.733490667897524
ORGANIZATION_TYPE,['Services' 'Hotel' 'Industry: type 5' 'Industry: type 9' 'Medicine'],15.16318551939576
ORGANIZATION_TYPE,"['Trade: type 2' 'Government' 'Emergency' 'Industry: type 10'
 'Kindergarten']",13.438956056136657
ORGANIZATION_TYPE,['Electricity' 'Other'],10.474025469821305
ORGANIZATION_TYPE,"['Industry: type 7' 'Transport: type 2' 'Housing' 'Business Entity Type 1'
 'Postal' 'Telecom' 'Industry: type 2']",7.866670460463787
ORGANIZATION_TYPE,"['Industry: type 11' 'Legal Services' 'Mobile' 'Business Entity Type 2'
 'Advertising' 'Transport: type 4']",4.227717328542909
ORGANIZATION_TYPE,"['Business Entity Type 3' 'Industry: type 4' 'Trade: type 7'
 'Trade: type 1']",1.5622610463324587
ORGANIZATION_TYPE,['Self-employed' 'Trade: type 3' 'Security'],-2.4749797932295134
ORGANIZATION_TYPE,"['Agriculture' 'Industry: type 3' 'Industry: type 1' 'Cleaning' 'Realtor'
 'Restaurant' 'Construction' 'Industry: type 13' 'Transport: type 3'
 'Industry: type 8']",-8.310495589962095
ORGANIZATION_TYPE,Special,7.3875093272873205
ORGANIZATION_TYPE,Missing,7.3875093272873205
DAYS_EMPLOYED_ANOM,"(-inf, 0.50)",7.000223506476827
DAYS_EMPLOYED_ANOM,"[0.50, inf)",9.580894422113875
DAYS_EMPLOYED_ANOM,Special,7.3875093272873205
DAYS_EMPLOYED_ANOM,Missing,7.3875093272873205
CREDIT_ANNUITY_RATIO,"(-inf, 10.78)",32.78925784855379
CREDIT_ANNUITY_RATIO,"[10.78, inf)",5.023928288396774
CREDIT_ANNUITY_RATIO,Special,7.3875093272873205
CREDIT_ANNUITY_RATIO,Missing,7.3875093272873205
GOODS_CREDIT_RATIO,"(-inf, 0.76)",-9.002443901615248
GOODS_CREDIT_RATIO,"[0.76, 0.83)",-2.4767727864659994
GOODS_CREDIT_RATIO,"[0.83, 0.86)",3.406887151952451
GOODS_CREDIT_RATIO,"[0.86, 0.88)",11.239872290209018
GOODS_CREDIT_RATIO,"[0.88, 0.91)",11.268101510820735
GOODS_CREDIT_RATIO,"[0.91, inf)",15.222783760277359
GOODS_CREDIT_RATIO,Special,7.3875093272873205
GOODS_CREDIT_RATIO,Missing,7.3875093272873205
EMPLOYED_BIRTH_RATIO,"(-inf, 0.06)",3.469022432680937
EMPLOYED_BIRTH_RATIO,"[0.06, 0.08)",4.271337326065692
EMPLOYED_BIRTH_RATIO,"[0.08, 0.11)",4.883350819350763
EMPLOYED_BIRTH_RATIO,"[0.11, 0.16)",6.479607327467473
EMPLOYED_BIRTH_RATIO,"[0.16, 0.22)",8.053411466154982
EMPLOYED_BIRTH_RATIO,"[0.22, 0.26)",9.84657757865584
EMPLOYED_BIRTH_RATIO,"[0.26, 0.32)",10.16502698426875
EMPLOYED_BIRTH_RATIO,"[0.32, inf)",13.56900455657006
EMPLOYED_BIRTH_RATIO,Special,7.3875093272873205
EMPLOYED_BIRTH_RATIO,Missing,7.3875093272873205
BUREAU_DAYS_CREDIT_MEAN,"(-inf, -1747.45)",11.086839473765544
BUREAU_DAYS_CREDIT_MEAN,"[-1747.45, -1488.09)",10.956124607550695
BUREAU_DAYS_CREDIT_MEAN,"[-1488.09, -1322.03)",10.357189843511817
BUREAU_DAYS_CREDIT_MEAN,"[-1322.03, -1191.26)",9.556122351468751
BUREAU_DAYS_CREDIT_MEAN,"[-1191.26, -1078.69)",9.114802999426022
BUREAU_DAYS_CREDIT_MEAN,"[-1078.69, -892.31)",8.289962999511566
BUREAU_DAYS_CREDIT_MEAN,"[-892.31, -722.69)",7.262275940114521
BUREAU_DAYS_CREDIT_MEAN,"[-722.69, -540.24)",6.049563875494062
BUREAU_DAYS_CREDIT_MEAN,"[-540.24, -336.59)",4.972687017578938
BUREAU_DAYS_CREDIT_MEAN,"[-336.59, inf)",2.730566186407357
BUREAU_DAYS_CREDIT_MEAN,Special,7.3875093272873205
BUREAU_DAYS_CREDIT_MEAN,Missing,7.3875093272873205
BUREAU_DAYS_CREDIT_MIN,"(-inf, -2843.50)",4.9608210425507
BUREAU_DAYS_CREDIT_MIN,"[-2843.50, -2751.50)",5.621594471492935
BUREAU_DAYS_CREDIT_MIN,"[-2751.50, -2423.50)",5.635501664797455
BUREAU_DAYS_CREDIT_MIN,"[-2423.50, -2026.50)",5.990634635078355
BUREAU_DAYS_CREDIT_MIN,"[-2026.50, -1756.50)",6.281759931867816
BUREAU_DAYS_CREDIT_MIN,"[-1756.50, -1545.50)",6.908043437107441
BUREAU_DAYS_CREDIT_MIN,"[-1545.50, -1363.50)",7.0987529471975925
BUREAU_DAYS_CREDIT_MIN,"[-1363.50, -1064.50)",7.515967975077222
BUREAU_DAYS_CREDIT_MIN,"[-1064.50, -789.50)",8.290701378420463
BUREAU_DAYS_CREDIT_MIN,"[-789.50, -582.50)",8.534664374093559
BUREAU_DAYS_CREDIT_MIN,"[-582.50, -337.50)",9.387601957535374
BUREAU_DAYS_CREDIT_MIN,"[-337.50, inf)",10.675171808704032
BUREAU_DAYS_CREDIT_MIN,Special,7.3875093272873205
BUREAU_DAYS_CREDIT_MIN,Missing,7.3875093272873205
BUREAU_DAYS_CREDIT_MAX,"(-inf, -588.50)",13.48909595528832
BUREAU_DAYS_CREDIT_MAX,"[-588.50, -353.50)",11.524750058914627
BUREAU_DAYS_CREDIT_MAX,"[-353.50, -273.50)",9.374451973355054
BUREAU_DAYS_CREDIT_MAX,"[-273.50, -230.50)",8.212367052171905
BUREAU_DAYS_CREDIT_MAX,"[-230.50, -140.50)",5.854932568119342
BUREAU_DAYS_CREDIT_MAX,"[-140.50, -93.50)",5.507633829819109
BUREAU_DAYS_CREDIT_MAX,"[-93.50, -59.50)",3.833314758489336
BUREAU_DAYS_CREDIT_MAX,"[-59.50, inf)",-0.48703413627948233
BUREAU_DAYS_CREDIT_MAX,Special,7.3875093272873205
BUREAU_DAYS_CREDIT_MAX,Missing,7.3875093272873205
BUREAU_AMT_CREDIT_SUM_MEAN,"(-inf, 48206.62)",3.110958542973825
BUREAU_AMT_CREDIT_SUM_MEAN,"[48206.62, 67562.98)",7.446728052756674
BUREAU_AMT_CREDIT_SUM_MEAN,"[67562.98, 447201.28)",8.076139908177243
BUREAU_AMT_CREDIT_SUM_MEAN,"[447201.28, 653208.94)",8.428668253375932
BUREAU_AMT_CREDIT_SUM_MEAN,"[653208.94, 983361.75)",9.968886697093566
BUREAU_AMT_CREDIT_SUM_MEAN,"[983361.75, inf)",15.615828015388196
BUREAU_AMT_CREDIT_SUM_MEAN,Special,7.3875093272873205
BUREAU_AMT_CREDIT_SUM_MEAN,Missing,7.3875093272873205
BUREAU_AMT_CREDIT_SUM_MAX,"(-inf, 58958.26)",2.2692983993902316
BUREAU_AMT_CREDIT_SUM_MAX,"[58958.26, 95147.28)",7.04313282568929
BUREAU_AMT_CREDIT_SUM_MAX,"[95147.28, 1561470.75)",8.257200861149956
BUREAU_AMT_CREDIT_SUM_MAX,"[1561470.75, 2387558.25)",9.451578881496907
BUREAU_AMT_CREDIT_SUM_MAX,"[2387558.25, inf)",15.075116379815757
BUREAU_AMT_CREDIT_SUM_MAX,Special,7.3875093272873205
BUREAU_AMT_CREDIT_SUM_MAX,Missing,7.3875093272873205
